timestamp,product,dealer,price,currency,in_stock,url
2026-07-26T21:58:04.628007,5g Perth Mint Gold Bar,BullionStar,961.48,SGD,True,https://www.bullionstar.com/buy/product/gold-perth-new-5g
2026-07-26T21:58:04.628007,5g Perth Mint Gold Bar,Silver Bullion,983.03,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Minted_Bar_Perth_Mint_5g
2026-07-26T21:58:04.628007,10g Perth Mint Gold Bar,BullionStar,1801.65,SGD,True,https://www.bullionstar.com/buy/product/gold-perth-mint-new-10g
2026-07-26T21:58:04.628007,10g Perth Mint Gold Bar,Silver Bullion,1832.60,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Minted_Bar_Perth_Mint_10g
2026-07-26T21:58:04.628007,20g Perth Mint Gold Bar,Silver Bullion,3531.74,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Minted_Bar_Perth_Mint_20g
2026-07-26T21:58:04.628007,20g Perth Mint Gold Bar,BullionStar,3545.84,SGD,True,https://www.bullionstar.com/buy/product/gold-perth-new-20g
2026-07-26T21:58:04.628007,1oz Perth Mint Gold Bar,LPM,5404.40,SGD,True,https://www.lpm.sg/sg_en/1-oz-perth-mint-9999-gold-cast-bar.html
2026-07-26T21:58:04.628007,1oz Perth Mint Gold Bar,Silver Bullion,5433.49,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Cast_Bar_Perth_Mint_1oz
2026-07-26T21:58:04.628007,1oz Perth Mint Gold Bar,Indigo Precious Metals,5487.05,SGD,True,https://www.indigopreciousmetals.com/1-oz-perth-mint-cast-gold-bar.html
2026-07-26T21:58:04.628007,50g Perth Mint Gold Bar,BullionStar,8688.08,SGD,True,https://www.bullionstar.com/buy/product/gold-perth-mint-new-50g
2026-07-26T21:58:04.628007,50g Perth Mint Gold Bar,Silver Bullion,8703.26,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Minted_Bar_Perth_Mint_50g
2026-07-26T21:58:04.628007,100g Perth Mint Gold Bar,Indigo Precious Metals,17144.09,SGD,True,https://www.indigopreciousmetals.com/100-gram-perth-mint-kangaroo-gold-minted-bar-99-99.html
2026-07-26T21:58:04.628007,100g Perth Mint Gold Bar,BullionStar,17189.45,SGD,True,https://www.bullionstar.com/buy/product/gold-perth-new-100g-cast
2026-07-26T21:58:04.628007,100g Perth Mint Gold Bar,Silver Bullion,17343.98,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Minted_Bar_Perth_Mint_100g
2026-07-26T21:58:04.628007,1g Argor-Heraeus Gold Bar,GoldSilver Central,211.68,SGD,True,https://www.goldsilvercentral.com.sg/shop/buy-gold/buy-gold-bar/argor-heraeus/argor-heraeus-gold-bar-1g/
2026-07-26T21:58:04.628007,1g Argor-Heraeus Gold Bar,LPM,231.52,SGD,True,https://www.lpm.sg/sg_en/1-gram-argor-heraeus-minted-bar-9999-gold-bar.html
2026-07-26T21:58:04.628007,1g Argor-Heraeus Gold Bar,Indigo Precious Metals,244.61,SGD,True,https://www.indigopreciousmetals.com/gold-1-gram-argor-heraeus-minted-bar.html
2026-07-26T21:58:04.628007,1g Argor-Heraeus Gold Bar,BullionStar,248.57,SGD,True,https://www.bullionstar.com/buy/product/gold-argor-heraeus-1g
2026-07-26T21:58:04.628007,5g Argor-Heraeus Gold Bar,GoldSilver Central,928.40,SGD,True,https://www.goldsilvercentral.com.sg/shop/buy-gold/buy-gold-bar/argor-heraeus/argor-heraeus-kinebar-gold-bar-5g/
2026-07-26T21:58:04.628007,5g Argor-Heraeus Gold Bar,Indigo Precious Metals,963.55,SGD,True,https://www.indigopreciousmetals.com/gold-5-gram-argor-heraeus-minted-bar-indigo-precious-metals.html
2026-07-26T21:58:04.628007,5g Argor-Heraeus Gold Bar,BullionStar,977.17,SGD,True,https://www.bullionstar.com/buy/product/gold-argor-heraeus-5g
2026-07-26T21:58:04.628007,10g Argor-Heraeus Gold Bar,UOB,1802.00,SGD,True,https://www.uobgroup.com/online-rates/gold-and-silver-prices.page
2026-07-26T21:58:04.628007,10g Argor-Heraeus Gold Bar,Indigo Precious Metals,1807.72,SGD,True,https://www.indigopreciousmetals.com/gold-10-gram-argor-heraeus-minted-bar.html
2026-07-26T21:58:04.628007,10g Argor-Heraeus Gold Bar,BullionStar,1816.46,SGD,True,https://www.bullionstar.com/buy/product/gold-argor-heraeus-10g
2026-07-26T21:58:04.628007,10g Argor-Heraeus Gold Bar,GoldSilver Central,1821.80,SGD,True,https://www.goldsilvercentral.com.sg/shop/buy-gold/buy-gold-bar/argor-heraeus/argor-heraeus-gold-bar-10g/
2026-07-26T21:58:04.628007,20g Argor-Heraeus Gold Bar,Indigo Precious Metals,3540.39,SGD,True,https://www.indigopreciousmetals.com/20-gram-gold-argor-heraeus-minted-bar.html
2026-07-26T21:58:04.628007,20g Argor-Heraeus Gold Bar,GoldSilver Central,3558.59,SGD,True,https://www.goldsilvercentral.com.sg/shop/buy-gold/buy-gold-bar/argor-heraeus/argor-heraeus-gold-bar-20g/
2026-07-26T21:58:04.628007,20g Argor-Heraeus Gold Bar,BullionStar,3566.04,SGD,True,https://www.bullionstar.com/buy/product/gold-bar-argor-heraeus-20g
2026-07-26T21:58:04.628007,1oz Argor-Heraeus Gold Bar,Indigo Precious Metals,5399.71,SGD,True,https://www.indigopreciousmetals.com/1-oz-argor-heraeus-gold-minted-bar-origin-traced.html
2026-07-26T21:58:04.628007,1oz Argor-Heraeus Gold Bar,UOB,5412.00,SGD,True,https://www.uobgroup.com/online-rates/gold-and-silver-prices.page
2026-07-26T21:58:04.628007,1oz Argor-Heraeus Gold Bar,LPM,5443.10,SGD,True,https://www.lpm.sg/sg_en/1oz-argor-heraeus-9999-gold-kine-bar.html
2026-07-26T21:58:04.628007,1oz Argor-Heraeus Gold Bar,GoldSilver Central,5490.21,SGD,True,https://www.goldsilvercentral.com.sg/shop/buy-gold/buy-gold-bar/argor-heraeus/argor-heraeus-gold-bar-1oz/
2026-07-26T21:58:04.628007,50g Argor-Heraeus Gold Bar,Indigo Precious Metals,8675.77,SGD,True,https://www.indigopreciousmetals.com/gold-50-gram-argor-heraeus-cast-bar.html
2026-07-26T21:58:04.628007,50g Argor-Heraeus Gold Bar,BullionStar,8688.08,SGD,True,https://www.bullionstar.com/buy/product/gold-bar-argor-heraeus-cast-50g
2026-07-26T21:58:04.628007,50g Argor-Heraeus Gold Bar,Silver Bullion,8699.09,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Cast_Bar_Argor-Heraeus_50g
2026-07-26T21:58:04.628007,50g Argor-Heraeus Gold Bar,GoldSilver Central,8768.98,SGD,True,https://www.goldsilvercentral.com.sg/shop/buy-gold/buy-gold-bar/argor-heraeus/argor-heraeus-cast-gold-bar-50g/
